"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.168333348E-4,3.895427659E-2,7.729527354E-2,-6.532127410E-2,1.084382950E-1
1.061783333E-2,5.445743445E-4,1.805335656E-2,-4.112801701E-2,4.491919442E-2
2.061883333E-2,-8.174177259E-2,-7.107997686E-2,-2.650859393E-2,1.115203392E-1
3.061983333E-2,-1.983967423E-1,-1.476991773E-1,2.370801289E-3,2.473498232E-1
4.062083333E-2,-3.350235820E-1,-2.132598162E-1,4.609857500E-2,3.998069888E-1
5.062183333E-2,-4.367284775E-1,-6.440843344E-1,6.692140549E-2,7.810600920E-1
6.062283333E-2,-4.717796743E-1,-9.647768736E-1,6.203078479E-2,1.075740812E0
7.062483333E-2,-4.754123092E-1,-1.112391949E0,1.509935856E-1,1.219111059E0
8.062583333E-2,-4.065919816E-1,-1.215530038E0,3.032680750E-1,1.317118764E0
9.062683333E-2,-3.303221762E-1,-1.154519916E0,4.637810588E-1,1.287292448E0
1.006278333E-1,-2.297654599E-1,-1.079508781E0,5.166592002E-1,1.218633704E0
1.106288333E-1,-1.063083708E-1,-1.095764518E0,4.246439338E-1,1.179967719E0
1.206298333E-1,6.038143300E-3,-1.257060170E0,2.831270099E-1,1.288564175E0
1.306308333E-1,8.276114613E-2,-1.455160856E0,1.583528221E-1,1.466089404E0
1.406318333E-1,1.005097851E-1,-1.566553354E0,9.250484407E-2,1.572497623E0
1.506328333E-1,1.094837934E-1,-1.568014979E0,4.037542269E-2,1.572351059E0
1.606348333E-1,1.293256730E-1,-1.468695879E0,-3.609484807E-2,1.474820515E0
1.706358333E-1,1.562082469E-1,-1.288489103E0,-1.352037936E-1,1.304946455E0
1.806368333E-1,1.728388816E-1,-1.156269789E0,-2.241419256E-1,1.190408630E0
1.906378333E-1,1.567284614E-1,-1.180149078E0,-2.752886415E-1,1.221924504E0
2.006388333E-1,1.014476269E-1,-1.283148408E0,-3.097813725E-1,1.323905569E0
2.106398333E-1,4.080976546E-2,-1.347850680E0,-3.949846029E-1,1.405126233E0
2.206408333E-1,-2.340384014E-2,-1.378791332E0,-5.684972405E-1,1.491577149E0
2.306418333E-1,-1.009267047E-1,-1.330282092E0,-7.769374251E-1,1.543848570E0
2.406428333E-1,-1.977310032E-1,-7.897539139E-1,-9.431048036E-1,1.245895447E0
2.506438333E-1,-1.967629194E-1,2.450811677E-2,-9.849270582E-1,1.004687814E0
2.606458333E-1,-8.213486522E-2,1.015874594E-1,-9.597663283E-1,9.686163085E-1
2.706468333E-1,3.390119597E-2,-1.215365976E-1,-9.637176394E-1,9.719424490E-1
2.806478333E-1,8.561951667E-2,-2.330689877E-1,-1.017612576E0,1.047467045E0
2.906488333E-1,7.433110476E-2,-9.313107282E-2,-1.057333946E0,1.064027060E0
3.006498333E-1,5.055253580E-2,-5.731848255E-2,-1.087886810E0,1.090568054E0
3.106508333E-1,1.223017573E-1,-1.623193175E-1,-1.158820748E0,1.176507887E0
3.206518333E-1,2.027720809E-1,-6.454881281E-2,-1.095535278E0,1.116011027E0
3.306528333E-1,4.267778397E-1,-1.347201616E-1,-9.036195278E-1,1.008373491E0
3.406538333E-1,5.564501286E-1,-2.293305695E-1,-7.845178843E-1,9.887859052E-1
3.506548333E-1,3.412192166E-1,-4.046308398E-1,-6.716547012E-1,8.551471850E-1
3.606568333E-1,4.512415826E-2,-6.787210107E-1,-5.165077448E-1,8.540952233E-1
3.706578333E-1,-3.032733798E-1,-5.290194154E-1,-3.614412844E-1,7.088554767E-1
3.806588333E-1,-4.792534709E-1,-3.378172517E-1,-1.264202446E-1,5.998220262E-1
3.906598333E-1,-5.196706057E-1,3.824364766E-2,4.485881329E-2,5.230032773E-1
4.006608333E-1,-1.581736356E-1,3.143346310E-1,3.122700155E-1,4.704654310E-1
4.106618333E-1,-1.030375715E-2,2.560844086E-2,5.672509074E-1,5.679221352E-1
4.206628333E-1,-2.416949123E-1,-3.317630291E-1,4.702894390E-1,6.242237536E-1
4.306638333E-1,-4.360034168E-1,-2.286647856E-1,3.056460917E-1,5.794877885E-1
4.406648333E-1,-4.566940367E-1,6.580651551E-2,2.389272451E-1,5.196019333E-1
4.506668333E-1,-4.325965643E-1,1.762347221E-1,2.603455186E-1,5.347693463E-1
4.606678333E-1,-4.426329732E-1,-3.708554059E-2,4.242356420E-1,6.142272920E-1
4.706688333E-1,-5.323474407E-1,-4.250483215E-1,6.975777745E-1,9.750254483E-1
4.806698333E-1,-7.169548869E-1,-1.047009349E0,1.095513463E0,1.676425553E0
4.906708333E-1,-9.514275193E-1,-1.569169164E0,1.449247122E0,2.338337745E0
5.006718333E-1,-1.340208530E0,-2.245937586E0,1.719177365E0,3.129850693E0
5.106728333E-1,-2.050706863E0,-3.770118475E0,1.945905328E0,4.712296627E0
5.206738333E-1,-2.336577654E0,-3.823673964E0,1.751387596E0,4.811178257E0
5.306748333E-1,-2.122055531E0,-2.323421001E0,1.530988455E0,3.499332861E0
5.406758333E-1,-1.809061527E0,-1.158085465E0,1.050703049E0,2.391201048E0
5.506778333E-1,-1.179318786E0,-1.234431982E0,5.431749821E-1,1.791550775E0
5.606788333E-1,-5.733588338E-1,-1.827421546E0,2.198464423E-1,1.927833581E0
5.706798333E-1,-3.094961345E-1,-2.063248158E0,1.060674414E-1,2.089026357E0
5.806808333E-1,-2.472559065E-1,-2.016458035E0,1.070118025E-1,2.034377058E0
5.906818333E-1,-2.905808985E-1,-1.250685692E0,1.122469679E-1,1.288895395E0
6.006828333E-1,-2.479996085E-1,4.519357979E-1,2.388727851E-2,5.160623735E-1
6.106838333E-1,5.480638519E-2,4.800835848E-1,-1.657847464E-1,5.108508299E-1
6.206848333E-1,4.848517478E-1,8.901007473E-2,-2.622388601E-1,5.583665736E-1
6.306858333E-1,9.728273153E-1,-3.029899299E-1,-4.084363282E-1,1.097732261E0
6.406878333E-1,1.647962809E0,-3.643811047E-1,-6.457256079E-1,1.807074035E0
6.506888333E-1,2.483782053E0,-6.965621710E-1,-7.911391258E-1,2.698198151E0
6.606898333E-1,3.280466080E0,-1.327880740E0,-8.971068859E-1,3.650962301E0
6.706908333E-1,3.727818251E0,-9.036516547E-1,-9.236862063E-1,3.945429182E0
6.806918333E-1,3.751795292E0,-1.090061784E0,-9.538286328E-1,4.021690150E0
6.906928333E-1,3.441365480E0,-8.400008082E-1,-8.725087047E-1,3.648269339E0
7.006938333E-1,2.451191902E0,-1.220360756E0,-6.876651049E-1,2.823208354E0
7.106948333E-1,-5.550065041E-1,-2.280863762E0,-5.061333776E-1,2.401362679E0
7.206958333E-1,-7.064620852E-1,8.155105710E-1,-4.951813817E-2,1.080091762E0
7.306968333E-1,-1.277393699E0,2.470202208E0,9.591815621E-2,2.782594814E0
7.406988333E-1,-1.964375019E0,2.356933832E0,-1.559298038E-1,3.072168682E0
7.506998333E-1,-2.385676861E0,2.594564438E0,-3.770843744E-1,3.544772395E0
7.607008333E-1,-2.620495319E0,3.113991261E0,-4.547306895E-1,4.095206624E0
7.707018333E-1,-2.788500071E0,3.522607088E0,9.892589599E-2,4.493804588E0
7.807028333E-1,-3.090510607E0,3.243064165E0,3.170861900E-1,4.491020445E0
7.907038333E-1,-3.009549856E0,1.997973561E0,3.801069260E-1,3.632322943E0
8.007048333E-1,-2.104934216E0,9.188159704E-1,7.608902454E-1,2.419488542E0
8.107058333E-1,-6.374616623E-1,-1.435985267E-1,1.209046841E0,1.374326079E0
8.207068333E-1,6.655151844E-1,-1.637031794E0,1.354934216E0,2.226798213E0
8.307078333E-1,1.711287498E0,-3.240196705E0,1.151229978E0,3.840925676E0
8.407098333E-1,2.617684364E0,-4.476349354E0,5.126971602E-1,5.210838066E0
8.507108333E-1,3.290125132E0,-5.209947109E0,-3.584508300E-1,6.172273427E0
8.607118333E-1,3.904802799E0,-5.237379551E0,-1.300265551E0,6.660954884E0
8.707128333E-1,4.584717751E0,-4.677767277E0,-2.692342758E0,7.081656097E0
8.807138333E-1,5.572152138E0,-4.581133842E0,-3.917996168E0,8.208919582E0
8.907148333E-1,7.318495274E0,-6.143613338E0,-4.564799309E0,1.058970022E1
9.007158333E-1,9.860447884E0,-9.729412079E0,-4.939383984E0,1.470671296E1
9.107168333E-1,1.278371239E1,-1.385912323E1,-5.297924519E0,1.958485648E1
9.207178333E-1,1.548688793E1,-1.672128868E1,-6.044473171E0,2.357924615E1
9.307188333E-1,1.705598450E1,-1.809135628E1,-6.563327789E0,2.571538549E1
9.407208333E-1,1.702206039E1,-1.821136093E1,-6.473662376E0,2.575485414E1
9.507218333E-1,1.571113110E1,-1.715926361E1,-6.226905823E0,2.408431697E1
9.607228333E-1,1.404023838E1,-1.483318901E1,-5.959105015E0,2.127587184E1
9.707238333E-1,1.233591080E1,-1.167608738E1,-4.911410809E0,1.768128015E1
9.807248333E-1,9.444328308E0,-7.871099472E0,-3.349745512E0,1.274246205E1
9.907258333E-1,5.025365829E0,-1.911483049E0,-1.590632081E0,5.606975975E0
1.000726833E0,2.873964608E-2,6.287450314E0,8.743553162E-1,6.348019741E0
1.010727833E0,-5.442250252E0,1.321717262E1,4.126903534E0,1.487760306E1
1.020728833E0,-1.058261013E1,1.717295647E1,7.194534779E0,2.141642831E1
1.030730833E0,-1.465520954E1,1.827688217E1,9.534067154E0,2.529264765E1
1.040731833E0,-1.753001976E1,1.790902328E1,1.154320526E1,2.759130833E1
1.050732833E0,-1.943988037E1,1.788722610E1,1.264557362E1,2.928775066E1
1.060733833E0,-2.036669922E1,1.814857101E1,1.223232651E1,2.989653623E1
1.070734833E0,-2.016303062E1,1.753705788E1,1.051271057E1,2.871608063E1
1.080735833E0,-1.712843323E1,1.858551216E1,6.527349472E0,2.610384604E1
1.090736833E0,-1.236923409E1,1.715272903E1,2.460182428E0,2.129005784E1
1.100737833E0,-7.328150272E0,1.284733868E1,-5.635460019E-1,1.480113109E1
1.110738833E0,-2.117329597E0,6.353690624E0,-2.307355642E0,7.083527316E0
1.120739833E0,2.832742453E0,-3.303573132E-1,-3.136828661E0,4.239488154E0
1.130741833E0,6.488556385E0,-5.010410786E0,-3.528605938E0,8.925056866E0
1.140742833E0,8.447917938E0,-7.284717083E0,-4.083683014E0,1.187901037E1
1.150743833E0,9.069931984E0,-7.873872757E0,-5.002948284E0,1.301118864E1
1.160744833E0,9.414416313E0,-8.621997833E0,-6.164927959E0,1.417661518E1
1.170745833E0,1.062173271E1,-1.120405388E1,-7.726282120E0,1.726405122E1
1.180746833E0,1.309446621E1,-1.491367149E1,-9.199978828E0,2.187515150E1
1.190747833E0,1.576114273E1,-1.767748451E1,-1.012458611E1,2.575683060E1
1.200748833E0,1.722014427E1,-1.866482353E1,-1.046803856E1,2.746796020E1
1.210749833E0,1.710055923E1,-1.818541336E1,-1.024301720E1,2.698254596E1
1.220750833E0,1.563977146E1,-1.638175392E1,-9.387369156E0,2.451707594E1
1.230752833E0,1.230665112E1,-1.155025673E1,-7.669029713E0,1.853850342E1
1.240753833E0,5.770772934E0,-1.740988195E-1,-3.796019077E0,6.909550744E0
1.250754833E0,-3.387320757E0,1.134011936E1,9.591242075E-1,1.187401231E1
1.260755833E0,-1.128384686E1,1.816559792E1,4.445044994E0,2.184199104E1
1.270756833E0,-1.638297844E1,1.930288124E1,6.695857048E0,2.618850336E1
1.280757833E0,-1.922423744E1,1.745492172E1,8.105957031E0,2.720206126E1
1.290758833E0,-2.049790955E1,1.539126205E1,9.220890999E0,2.724114671E1
1.300759833E0,-1.974069214E1,1.336057663E1,1.011347485E1,2.589367312E1
1.310760833E0,-1.621837997E1,1.280641651E1,9.629532814E0,2.279842221E1
1.320761833E0,-1.102100945E1,1.179901791E1,7.388591766E0,1.775586554E1
1.330763833E0,-5.603456020E0,9.016744614E0,4.775646687E0,1.164075616E1
1.340764833E0,-1.452029943E-1,3.377197266E0,2.202425718E0,4.034504223E0
1.350765833E0,5.312903881E0,-3.919864416E0,-4.375589266E-2,6.602590345E0
1.360766833E0,1.002286434E1,-1.123234367E1,-1.666243315E0,1.514594734E1
1.370767833E0,1.376550865E1,-1.707290268E1,-2.728556871E0,2.210018681E1
1.380768833E0,1.652269745E1,-2.052275085E1,-3.576077938E0,2.658892941E1
1.390769833E0,1.806608200E1,-2.153690147E1,-4.641028881E0,2.849141262E1
1.400770833E0,1.850014114E1,-2.160742950E1,-6.123191833E0,2.909690207E1
1.410771833E0,1.763782501E1,-2.073915482E1,-7.598588943E0,2.826559689E1
1.420773833E0,1.497224140E1,-1.602618217E1,-8.469246864E0,2.351030987E1
1.430774833E0,1.114331245E1,-9.532257080E0,-7.571634293E0,1.650354457E1
1.440775833E0,6.487744331E0,-4.642799854E0,-5.673233509E0,9.789381770E0
1.450776833E0,1.713931918E0,-1.633957028E0,-4.256475449E0,4.870827592E0
1.460777833E0,-2.194267273E0,-4.387683868E-1,-3.247044563E0,3.943428072E0
1.470778833E0,-4.975064278E0,-3.402394950E-1,-2.550302744E0,5.600988445E0
1.480779833E0,-6.803023815E0,-4.521625638E-1,-2.232397795E0,7.174202668E0
1.490780833E0,-7.915616512E0,9.692390263E-2,-2.214006662E0,8.219988109E0
1.500781833E0,-8.434809685E0,1.170305610E0,-2.239873171E0,8.805263282E0
1.510782833E0,-8.604722023E0,2.219076157E0,-2.084226370E0,9.127405965E0
1.520784833E0,-8.739137650E0,3.629841566E0,-1.499900579E0,9.581126155E0
1.530785833E0,-9.296346664E0,6.545633793E0,7.710326463E-2,1.136984292E1
1.540786833E0,-1.081366634E1,9.905545235E0,2.136097193E0,1.481951812E1
1.550787833E0,-1.310596657E1,1.233839035E1,4.012069225E0,1.844177149E1
1.560788833E0,-1.537437630E1,1.369440460E1,5.782544613E0,2.138564907E1
1.570789833E0,-1.703631210E1,1.405866814E1,7.364528656E0,2.328343536E1
1.580790833E0,-1.792293930E1,1.384040546E1,8.441650391E0,2.416712722E1
1.590791833E0,-1.763874245E1,1.303512192E1,8.397023201E0,2.348509394E1
1.600792833E0,-1.525688553E1,1.010161304E1,6.686134815E0,1.948126128E1
1.610793833E0,-9.965731621E0,4.960475922E0,3.600874186E0,1.169993261E1
1.620795833E0,-3.765389442E0,-1.135962486E0,6.134146452E-1,3.980558497E0
1.630796833E0,1.181363463E0,-7.104211807E0,-1.459388733E0,7.348146740E0
1.640797833E0,4.776152611E0,-1.072577477E1,-2.592043638E0,1.202383334E1
1.650798833E0,6.942603588E0,-1.103860378E1,-2.799064636E0,1.333736409E1
1.660799833E0,7.546520710E0,-8.590085983E0,-2.336775780E0,1.167047870E1
1.670800833E0,6.538667202E0,-4.635112286E0,-1.630774617E0,8.179111231E0
1.680801833E0,4.381878376E0,-3.798880577E-1,-8.024782538E-1,4.470922096E0
1.690802833E0,1.767401695E0,2.868004084E0,4.273000360E-1,3.395841795E0
1.700803833E0,-6.334908009E-1,4.535218239E0,1.854978800E0,4.940694427E0
1.710804833E0,-2.529693365E0,5.224823475E0,2.859828234E0,6.471224489E0
1.720806833E0,-3.764113665E0,4.509371281E0,3.031653166E0,6.610136303E0
1.730807833E0,-4.293820381E0,2.963314772E0,2.653477430E0,5.853124838E0
1.740808833E0,-4.520929337E0,2.172165871E0,1.997726798E0,5.398890534E0
1.750809833E0,-4.724427700E0,1.996118546E0,1.472988248E0,5.336140995E0
1.760810833E0,-5.035280704E0,2.832898140E0,1.085674286E0,5.878609725E0
1.770811833E0,-5.734147072E0,5.007970333E0,5.647774339E-1,7.634080367E0
1.780812833E0,-4.704988003E0,1.811267376E0,-1.853868216E-1,5.044994538E0
1.790813833E0,-2.025618076E0,2.219964981E0,-5.568372011E-1,3.056377067E0
1.800814833E0,1.967602670E-1,1.461944461E0,1.876380146E-1,1.487011847E0
1.810815833E0,1.389794946E0,8.414577246E-1,1.160721183E0,1.996710985E0
1.820817833E0,1.934576750E0,1.161308438E-1,1.790226936E0,2.638368067E0
1.830818833E0,2.138066053E0,-8.165581822E-1,1.898911357E0,2.973879294E0
1.840819833E0,2.207248449E0,-1.674097657E0,1.831642628E0,3.321063594E0
1.850820833E0,2.242880106E0,-2.056318521E0,1.806951404E0,3.538930687E0
1.860821833E0,2.430922270E0,-2.144387722E0,1.584103227E0,3.607930822E0
1.870822833E0,2.860888004E0,-1.890674591E0,1.074610591E0,3.593621920E0
1.880823833E0,3.689661980E0,-1.528560966E-1,2.569307387E-1,3.701754167E0
1.890824833E0,3.102721214E0,5.146593094E0,1.456585079E-1,6.011282376E0
1.900825833E0,2.039956808E0,4.899357319E0,6.669781804E-1,5.348830322E0
1.910826833E0,9.889769554E-1,2.019262552E0,1.640350342E0,2.783207847E0
1.920828625E0,9.548909217E-2,-1.484127045E-1,2.163085699E0,2.170272849E0
1.930829625E0,-4.676852822E-1,-1.486149073E0,2.095959187E0,2.611592139E0
1.940830625E0,-7.753680348E-1,-1.453277469E0,1.703372002E0,2.369533111E0
1.950831625E0,-6.212902069E-1,-9.129701853E-1,1.212614059E0,1.640106380E0
1.960832625E0,-2.096211463E-1,-1.170250654E0,7.556369305E-1,1.408692582E0
1.970833625E0,-1.184436828E-1,-5.656169653E-1,5.104923844E-1,7.710732339E-1
1.980834625E0,-3.381930888E-1,3.152272999E-1,5.414550900E-1,7.119806391E-1
1.990835625E0,-9.222503304E-1,1.681720018E0,7.360569239E-1,2.054387424E0
2.000836625E0,-1.600652456E0,3.025665522E0,9.512249231E-1,3.552684758E0
2.010837625E0,-2.813806295E0,3.391782522E0,9.238346219E-1,4.502795238E0
2.020839625E0,-3.803357840E0,4.353668213E0,7.950074077E-1,5.835408687E0
2.030840625E0,-4.375623226E0,6.007301807E0,2.853181660E-1,7.437416223E0
2.040841625E0,-4.765767097E0,7.613870621E0,-1.880259514E-1,8.984370630E0
2.050842625E0,-4.707413673E0,5.985461712E0,-6.692597866E-1,7.644174518E0
2.060843625E0,-4.991181374E0,1.823466420E0,-9.870119095E-1,5.404730687E0
2.070844625E0,-4.498853207E0,1.657838702E0,-7.043694258E-1,4.846054645E0
2.080845625E0,-3.883247852E0,1.359349728E0,-4.012072086E-1,4.133813347E0
2.090846625E0,-3.259398937E0,8.227717876E-1,-6.545685232E-2,3.362278907E0
2.100847625E0,-2.504628181E0,7.565768063E-2,1.338511854E-1,2.509343052E0
2.110848625E0,-1.705632687E0,7.202322595E-3,1.370815635E-1,1.711147594E0
2.120850625E0,-8.352613449E-1,3.757838011E-1,-2.088356204E-2,9.161392376E-1
2.130851625E0,3.107388690E-2,7.297928333E-1,-1.904169023E-1,7.548653938E-1
2.140852625E0,7.968461514E-1,1.093555212E0,-1.760547459E-1,1.364486007E0
2.150853625E0,1.382839799E0,1.437419891E0,5.954291299E-2,1.995486711E0
2.160854625E0,1.828925729E0,1.507366776E0,4.361961782E-1,2.409852905E0
2.170855625E0,2.192134619E0,1.484582663E0,8.508356810E-1,2.780892163E0
2.180856625E0,2.509741545E0,1.462113023E0,1.249994278E0,3.162129474E0
2.190857625E0,2.873722076E0,1.458599687E0,1.627739549E0,3.610447016E0
2.200858625E0,3.271928787E0,1.681118846E0,1.936913371E0,4.157320287E0
2.210859625E0,3.697838783E0,1.968041301E0,2.170875072E0,4.718039509E0
2.220861625E0,4.147993088E0,2.274926901E0,2.295969963E0,5.258575580E0
2.230862625E0,4.644860744E0,2.762966394E0,2.311183214E0,5.877948833E0
2.240863625E0,5.219842911E0,3.211840153E0,2.236174822E0,6.524044376E0
2.250864625E0,5.830906868E0,3.604427814E0,2.137515068E0,7.180553282E0
2.260865625E0,6.391560555E0,4.004746914E0,2.078968525E0,7.823819674E0
2.270866625E0,6.856275082E0,3.954522133E0,2.087439060E0,8.185606583E0
2.280867625E0,6.744120598E0,3.036935806E0,2.121950388E0,7.694726452E0
2.290868625E0,5.682962418E0,1.366527677E0,2.209969521E0,6.248793885E0
2.300869625E0,3.615686417E0,-1.473429680E0,1.991229892E0,4.382827828E0
2.310870625E0,9.405508637E-1,-3.253752470E0,1.208433628E0,3.596088555E0
2.320872625E0,-1.833898902E0,-4.220726967E0,4.083740711E-1,4.620009815E0
2.330873625E0,-4.320693016E0,-4.550989628E0,6.464202702E-2,6.275673137E0
2.340874625E0,-6.112015247E0,-4.563979149E0,1.488578320E-1,7.629468835E0
2.350875625E0,-6.942250252E0,-4.525693417E0,3.364235163E-1,8.293968908E0
2.360876625E0,-6.850870132E0,-4.143020153E0,4.487050474E-1,8.018751385E0
2.370877625E0,-5.963850975E0,-2.884013891E0,4.478864372E-1,6.639703068E0
2.380878625E0,-4.392756939E0,-4.481030405E-1,4.744221866E-1,4.440966817E0
2.390879625E0,-2.105514526E0,2.746038914E0,5.695765018E-1,3.506898705E0
2.400880625E0,7.815655470E-1,5.406877041E0,6.940939426E-1,5.506989236E0
2.410881625E0,3.759570122E0,6.805677891E0,7.524358034E-1,7.811387757E0
2.420882625E0,6.192146778E0,6.920644283E0,7.305459380E-1,9.315132655E0
2.430884625E0,7.647046089E0,6.044734001E0,6.448971629E-1,9.768931128E0
2.440885625E0,8.085978508E0,4.560443878E0,4.897147715E-1,9.296263623E0
2.450886625E0,7.604863644E0,2.939471722E0,2.436764240E-1,8.156826787E0
2.460887625E0,6.336628437E0,1.500568390E0,-5.288626999E-2,6.512093550E0
2.470888625E0,4.533731937E0,-1.553385612E-2,-3.665816486E-1,4.548554571E0
2.480889625E0,2.270301819E0,-1.930105448E0,-6.532474756E-1,3.050624469E0
2.490890625E0,-4.753719270E-1,-4.257485867E0,-8.050374389E-1,4.358927580E0
2.500891625E0,-3.376624823E0,-6.509723663E0,-6.184768677E-1,7.359389309E0
2.510892625E0,-5.856288433E0,-8.046163559E0,-8.426173776E-2,9.952083313E0
2.520894625E0,-7.589457512E0,-8.828141212E0,5.728926659E-1,1.165607775E1
2.530895625E0,-8.541858673E0,-9.206800461E0,1.144644737E0,1.261105610E1
2.540896625E0,-8.806265831E0,-9.117080688E0,1.480551124E0,1.276179885E1
2.550897625E0,-8.554090500E0,-8.271209717E0,1.560038686E0,1.200079561E1
2.560898625E0,-7.879749298E0,-6.609545231E0,1.608790994E0,1.040983889E1
2.570899625E0,-6.576304436E0,-3.915229797E0,1.669901371E0,7.833605491E0
2.580900625E0,-4.517576694E0,-2.888625562E-1,1.415152788E0,4.742847054E0
